"","NUTS_ID","nuts3_cases"
"188","DE149",51.1121575262802
"189","DE211",55.8049156331062
"190","CZ042",104.369897692004
"191","HR04A",14.4112495360579
"192","ES613",642.868634118521
"193","DE21K",103.21045019607
"194","DE21L",53.9643072125084
"195","DE21M",70.6889692596895
"196","DE235",50.0026592794392
"197","DE236",52.9985390690207
"198","DE237",38.6209270810672
"199","BG423",7.89336750307993
"200","BG424",3.32667082088403
"201","ES512",725.100648249421
"202","DE249",38.2372630603029
"203","DE24A",27.1180536638141
"204","DE24B",29.324401368965
"205","DE24C",27.0231737705428
"206","DE25C",37.4598107251587
"207","DE261",28.1043154432252
"208","DE262",20.7734897528738
"209","DE263",49.5929378662048
"210","DE264",71.5679539844785
"211","DE212",625.697028561296
"212","DE213",24.5241622743773
"213","CH055",579.267102169444
"214","ES513",397.645745300322
